word,emotion,intensity,context,examples,emojis
待ち望んでた,期待,0.85,長い期間の期待,待ち望んでた展開、待ち望んでたよ、ずっと待ち望んでた、待ち望んでた情報、待ち望んでたコンテンツ,"🙌,⏳,🌟"
ずっと待ってた,期待,0.85,長年の期待,ずっと待ってた、何年もずっと待ってた、ずっと待ってたよこれ、ずっと待ってた情報、ずっと待ってた展開,"🕰️,🙌,💫"
大本命,期待,0.85,本命への期待,大本命きた、大本命すぎる、大本命の展開、大本命が来た、大本命確定,"🎯,🏆,⭐"
公式が来た,期待,0.85,SNS公式の動き,公式が来た、公式きた、公式がついにきた、公式が動いた、公式の動きが来た,"🏢,📢,🎉"
胸が躍る,期待,0.8,期待感の高まり,胸が躍る、胸が躍る展開、胸が躍る情報、胸が躍るニュース、ひたすら胸が躍る,"💓,✨,🌟"
先行公開,期待,0.8,先行情報,先行公開きた、先行公開ありがとう、先行公開で既にやばい、先行公開チェックした、先行公開勢,"🎁,⭐,📢"
争奪戦,期待,0.8,チケット・限定品,争奪戦に参加、争奪戦始まった、争奪戦勝ちたい、争奪戦激しすぎ、争奪戦で疲弊,"⚔️,🏆,🔥"
当選したい,期待,0.8,抽選への期待,当選したい、絶対当選したい、当選しますように、当選祈願、当選してほしい,"🙏,🎫,🍀"
秒読み,期待,0.8,カウントダウン,もう秒読み、秒読みになってきた、秒読みでドキドキ、秒読み段階、ついに秒読み,"⏰,🔥,💫"
来るぞ,期待,0.8,予感・予告,来るぞこれ、来るぞきた、来るぞ感がある、来るぞ絶対、来るぞ感,"👀,🔥,⚡"
チャンスタイム,期待,0.8,絶好のチャンス,チャンスタイム到来、チャンスタイムきた、チャンスタイムだ、チャンスタイム突入、チャンスタイム逃すな,"⏰,🔥,🎯"
解釈違いなし,期待,0.8,完全一致の期待,解釈違いなし、解釈違いなしで来た、解釈違いなしすぎ、解釈違いなしの展開、解釈違いなしで最高,"✅,💯,🎯"
爆速で見た,期待,0.8,待ちきれない期待,爆速で見た、爆速で確認した、爆速で読んだ、爆速でチェック、爆速で視聴,"⚡,🔥,👀"
嬉しい悲鳴,期待,0.8,嬉しい悲鳴,嬉しい悲鳴、嬉しい悲鳴をあげてる、嬉しい悲鳴しかない、嬉しい悲鳴の毎日、嬉しい悲鳴がとまらない,"😭,🎉,💕"
今きた,期待,0.8,リアルタイムの興奮,今きた、今きたぁ、たった今きた、今まさにきた、今きたのを見た,"⚡,🔥,📱"
続報待ち,期待,0.75,SNS待機,続報待ち、続報まだか、続報待ってる、続報を心待ちに、続報くれぇ,"⏳,👀,📡"
注目,期待,0.75,注目・マーク,要注目、注目してる、注目の的、注目しかない、次のライブ注目してる,"👀,🎯,⭐"
うきうき,期待,0.75,明るい期待感,うきうきしてる、うきうきが止まらない、明日うきうきで行く、うきうきしながら待ってる、うきうきランド,"🌸,😊,🎵"
布石,期待,0.75,伏線・布石,布石を打った、布石だったのか、布石が回収された、布石だと思ってた、布石だったとは,"♟️,🧩,💡"
匂わせ,期待,0.75,SNS匂わせ,匂わせ発見、匂わせきた、匂わせがある、匂わせを回収、匂わせ考察,"👃,🔍,💭"
動きがある,期待,0.75,変化の予兆,動きがある、動きがありそう、動きを感じる、何か動きがある、動きを察知した,"👀,📡,💫"
続きが気になる,期待,0.75,続きへの期待,続きが気になる、続きが気になりすぎ、続きが気になって眠れない、続きが気になる展開、早く続きが見たい,"👀,⏳,💭"
始まりの予感,期待,0.75,新しい始まり,始まりの予感がする、始まりを感じる、始まりの予感しかない、何かが始まる予感、新しい始まりの予感,"🌅,✨,🔮"
そわそわ,期待,0.7,落ち着かない期待,そわそわしてる、発表前でそわそわ、そわそわが止まらない、そわそわして仕事にならない、そわそわ期,"🦋,💫,🌀"
考察,期待,0.7,SNS考察文化,考察勢がんばれ、考察が当たった、考察楽しい、考察スレ覗いてる、考察民つよい,"🔍,🧩,💡"
察し,期待,0.7,SNS予感,察しの通り、察しがついた、察し案件、もう察した、完全に察してる,"👀,💭,😏"
前兆,期待,0.7,予兆・前触れ,前兆がある、前兆を感じる、前兆かもしれない、前兆を見た、前兆では？,"🔮,👀,💭"
気になる,期待,0.65,興味・関心,すごく気になる、めっちゃ気になる、気になりすぎる、気になって眠れない、気になりまくる,"👀,💭,🔍"
絶句,驚き,0.9,衝撃,あまりの光景に絶句、凄すぎて絶句した、ニュースを見て絶句、絶句するほどの美しさ、言葉を失い絶句,"😶,🤐,💥"
引退します,驚き,0.9,衝撃・離別,突然の引退します宣言、引退しますなんて嘘だと言って、引退します報告にTLが揺れる、引退しますは悲しすぎる、引退します理由が知りたい,"😢,👋,📢"
驚愕,驚き,0.9,強い驚き,驚愕の事実、驚愕すぎる、驚愕した、驚愕レベル、驚愕の展開,"😱,⚡,🤯"
青天の霹靂,驚き,0.9,完全な想定外,まさに青天の霹靂、青天の霹靂すぎる、青天の霹靂だった、青天の霹靂の発表、青天の霹靂で震えてる,"⚡,😱,🌩️"
前代未聞,驚き,0.9,前例のない驚き,前代未聞の展開、前代未聞すぎ、前代未聞の発表、前代未聞だった、前代未聞レベル,"🔥,😱,⁉️"
空前絶後,驚き,0.9,前例のない規模,空前絶後の展開、空前絶後すぎ、空前絶後のすごさ、空前絶後の実力、空前絶後だった,"🔥,⚡,😱"
まさか,驚き,0.85,予想外の出来事,まさかの展開、まさかこうなるとは、まさかの大逆転、まさかすぎて震えてる、まさかの公式RT,"😱,🤯,‼️"
嘘でしょ,驚き,0.85,信じられない,嘘でしょ、嘘でしょこれ、嘘でしょありえない、嘘でしょ信じられない、嘘でしょ最高すぎる,"😱,🤯,😭"
衝撃,驚き,0.85,強い衝撃,衝撃すぎる、衝撃の発表、衝撃展開、衝撃を受けた、衝撃で言葉が出ない,"⚡,😱,🤯"
言葉を失った,驚き,0.85,絶句の驚き,言葉を失った、言葉を失うレベル、言葉を失うほど素晴らしい、言葉を失う結果、言葉を失った瞬間,"😶,💫,🌟"
ありえない,驚き,0.85,ありえない驚き,ありえない展開、ありえなさすぎ、ありえない結果、ありえなくてびっくり、ありえないにも程がある,"😱,🚫,🤯"
ひっくり返った,驚き,0.85,度肝を抜かれた,ひっくり返った、ひっくり返りそう、思わずひっくり返った、ひっくり返るレベル、完全にひっくり返った,"🔄,😱,⚡"
腰抜かした,驚き,0.85,驚きで腰が抜けた,腰抜かした、腰抜かすかと思った、腰抜かすレベル、腰が抜けそう、腰抜かしそうな驚き,"😱,💫,🌀"
嘘やろ,驚き,0.85,関西系驚き表現,嘘やろ、嘘やろこれ、嘘やろありえない、嘘やろすごすぎ、嘘やろ待って,"😱,⁉️,🤯"
開いた口が塞がらない,驚き,0.85,あっけにとられた,開いた口が塞がらない、開いた口が塞がらないレベル、開いた口が塞がらなくなった、開いた口が塞がらない展開、完全に開いた口が塞がらない,"😮,💨,😱"
驚き,驚き,0.8,ニュース・意外性,あまりのニュースに驚き、予想外の結果に驚いた、驚きを隠せない、急な展開に驚き、驚きすぎて声が出た,"😮,‼️,💥"
エグい,驚き,0.8,衝撃,この難易度はエグい、エグい結果になった、エグい美しさ、マジでエグい、エグいほど凄い,"😱,‼️,💥"
納期遅延,驚き,0.8,仕事のトラブル,まさかの納期遅延でパニック、納期遅延の連絡に絶句、納期遅延とかありえない、納期遅延の謝罪に追われる、納期遅延が確定した衝撃,"😱,🚨,⏰"
通知止まらん,驚き,0.8,バズ・騒動,バズりすぎて通知止まらん、通知止まらんくて電池切れる、通知止まらんで草、通知止まらん。何が起きた、過去一で通知止まらん,"🚨,📱,🔥"
地雷踏んだ,驚き,0.8,トラブル,うっかり地雷踏んだ、地雷踏んだ時の静寂、あの人の地雷踏んだかも、地雷踏んだショック、地雷踏んだ後の気まずさ,"💣,💥,😱"
信じられない,驚き,0.8,信じられない驚き,信じられない展開、信じられなさすぎ、信じられない発表、信じられないレベル、信じられない実力,"🤯,😱,‼️"
呆然,驚き,0.8,呆然自失,呆然としてる、呆然とした、呆然自失、呆然で固まった、呆然として動けない,"😶,🌫️,💭"
唖然,驚き,0.8,あっけにとられた,唖然とした、唖然としか言えない、唖然で言葉が出ない、唖然の連続、唖然としてる,"😶,😱,💨"
え待って,驚き,0.8,SNSでの驚き表現,え待って何これ、え待って嘘でしょ、え待ってちょっと、え待ってやばい、え待って最高すぎ,"😱,⁉️,🤯"
マジか,驚き,0.8,強い驚き,マジか、マジかよ、マジかすぎる、マジかを超えた、マジかぁ,"😱,⁉️,🤯"
頭が追いつかない,驚き,0.8,情報過多の驚き,頭が追いつかない、頭が追いつかないくらい驚いた、頭が追いつかない展開、頭が追いつかなすぎ、頭が追いつかない情報量,"🤯,💭,😵"
斜め上,驚き,0.8,予想の斜め上,斜め上すぎる、完全に斜め上、予想の斜め上、斜め上の展開、斜め上を行く,"📐,😮,🤯"
想定外,驚き,0.8,想定外の出来事,想定外すぎる、完全に想定外、想定外の展開、想定外の結果、想定外を超えた,"😮,🎲,⁉️"
目を疑った,驚き,0.8,見間違いかと思う驚き,目を疑った、思わず目を疑った、目を疑うレベル、目を疑う展開、目を疑いながら見た,"👀,😱,❓"
脳がバグった,驚き,0.8,SNS・ゲームの驚き,脳がバグった、脳がバグるレベル、脳がバグりそう、脳がバグる展開、脳がバグった瞬間,"🤯,💥,🔄"
耳を疑った,驚き,0.8,聴覚の驚き,耳を疑った、思わず耳を疑った、耳を疑うレベル、耳を疑う発言、耳を疑いながら聞いた,"👂,😱,❓"
声が出た,驚き,0.8,思わず声が出た,思わず声が出た、声が出るレベル、声が出た瞬間、思わず声が出てしまった、声が出るくらい驚いた,"😱,💬,⚡"
鳥肌が立つ,驚き,0.8,驚きの鳥肌,鳥肌が立った、鳥肌が立つレベル、鳥肌が立つほど驚いた、鳥肌が立つ展開、鳥肌が立ちすぎ,"😱,⚡,🫨"
予想外,驚き,0.75,予想を超えた,予想外の展開、予想外すぎる、完全に予想外、予想外の結果、予想外で声出た,"😮,🎲,‼️"
どゆこと,驚き,0.75,困惑・驚き,どゆことこれ、どゆことやばい、どゆこと待って、どゆこと理解が追いつかない、どゆこと最高,"🤔,😵,⁉️"
二度見した,驚き,0.75,確認の驚き,二度見した、思わず二度見、二度見して確認した、二度見しても本当だった、リアル二度見した,"👀,😲,🔄"
話が違う,驚き,0.75,予想との乖離,話が違う、話が違いすぎ、話が違うだろ、最初と話が違う、聞いてた話と違う,"😤,⁉️,🤔"
まじすか,驚き,0.75,軽い驚き表現,まじすか、まじすかこれ、まじすかやばい、まじすかありがとう、まじすか最高,"😮,⁉️,😲"
うそつかない,驚き,0.75,驚きの事実確認,うそつかない、これはうそつかない、うそつかないのがやばい、うそつかない展開、うそつかない事実,"😱,‼️,😮"
マジで？,驚き,0.75,確認の驚き,マジで？ありえる？、マジで？すごすぎ、マジで？信じられない、マジで？どゆこと、マジで？やばくない？,"😲,⁉️,🤔"
ガチで,驚き,0.7,強調,ガチで驚いた、ガチでヤバい、ガチで凄い、ガチで感謝、ガチで怒る,"‼️,✨,🔥"
びっくり,驚き,0.7,日常の驚き,びっくりした、予想外でびっくり、びっくりするほど美味しい、びっくりしすぎて声出た、びっくり仰天,"😲,‼️,🙀"
ぽかん,驚き,0.7,ぽかんとした驚き,ぽかんとした、ぽかんとするしかない、ぽかんとしてる、ぽかんとしてしまった、ぽかんとしながら見てた,"😶,🌫️,💭"
なんで,驚き,0.7,理由不明の驚き,なんでこうなった、なんでこれが、なんでそうなる、なんでこんなに、なんでわかった,"😮,🤷,⁉️"
腑に落ちない驚き,驚き,0.7,理解できない驚き,腑に落ちない、腑に落ちない展開、腑に落ちないんだが、腑に落ちなさすぎ、腑に落ちない発言,"🤔,⁉️,😮"
困惑,驚き,0.6,混乱,困惑した表情、突然のことに困惑、困惑を隠せない、周囲が困惑、困惑する事態,"🤔,❓,🌀"
空リプ,驚き,0.5,コミュニケーション,これって空リプかな、空リプで会話する、空リプに気づいてドキドキ、空リプの応酬、誰宛の空リプかわからない,"☁️,💬,👀"
巻き込みリプ,驚き,0.5,ミス,巻き込みリプ失礼しました、巻き込みリプに困惑、巻き込みリプを防ぐ方法、巻き込みリプされてるよ、巻き込みリプ注意,"🙏,🌀,❓"
FF外失礼します,驚き,0.4,対人ルール,FF外から失礼します、FF外失礼します。これ本当ですか？、FF外失礼しますが同意です、FF外失礼します。マジで草、FF外失礼。素敵な写真ですね,"🙇‍♂️,💬,💥"
FF外,驚き,0.4,対人マナー,FF外から失礼します、FF外なのに通知きた、FF外の反応が凄すぎる、FF外でも大歓迎、FF外からのクソリプ,"🙇‍♂️,💬,💥"
戦慄,恐れ,1.0,衝撃,戦慄を覚える、戦慄が走る、戦慄の事実、戦慄の展開に震える、戦慄の一夜,"😱,⚡,💀"
詰んだ,恐れ,1.0,仕事の絶望,保存前にPC落ちて詰んだ、明日納期なのに詰んだ、完全に人生詰んだ気分、詰んだ状況からどう脱出する、マジで詰んだ,"🛑,😱,💻"
詰み,恐れ,1.0,最終絶望,完全に詰み、どう考えても詰み、詰みの状況、詰みすぎて笑える、詰みの一手,"🛑,💀,🏳️"
凍結,恐れ,1.0,アカウント危機,垢凍結されたら死ぬ、凍結祭りが怖すぎる、突然の凍結に絶望、凍結対策を調べる、仲間が次々と凍結していく,"😱,❄️,🌑"
恐怖,恐れ,0.9,危機,あまりの恐怖に動けない、恐怖を感じる夜、恐怖政治、恐怖で声が出ない、未知の恐怖,"😱,💀,🌑"
パニック,恐れ,0.9,危機,パニックになる、周囲がパニック、パニック障害、パニックを抑える、パニック状態で逃げる,"😱,🌪️,🚨"
畏怖,恐れ,0.9,神聖,大自然への畏怖、畏怖の念を抱く、畏怖を感じる存在、畏怖を覚える、畏怖の対象,"🙏,⛰️,⚡"
脅威,恐れ,0.9,危機,存亡の脅威、脅威を感じる、脅威となる存在、新たな脅威、脅威にさらされる,"⚠️,🔥,💀"
恐怖心,恐れ,0.9,本能,恐怖心を煽る、恐怖心を克服する、恐怖心に打ち勝つ、根源的な恐怖心、恐怖心を抱く,"😱,💀,🌑"
詰む,恐れ,0.9,限界,このままだと詰む、完全に詰む予感、詰む一歩手前、詰むのを防ぎたい、もう詰むしかない,"😱,🛑,🏴"
死ぬかと思った,恐れ,0.9,強い恐怖体験,死ぬかと思った、本当に死ぬかと思った、死ぬかと思ったレベル、死ぬかと思った怖さ、心臓死ぬかと,"💀,😱,❤️‍🔥"
晒し怖い,恐れ,0.9,SNS晒しへの恐怖,晒し怖い、晒される恐怖、晒し怖くて萎縮、晒し怖くて何も言えない、晒し被害怖い,"😱,🔍,🚫"
特定される怖さ,恐れ,0.9,個人特定への恐怖,特定される怖さがある、特定されそうで怖い、特定怖くて投稿削除した、特定怖くて情報出せない、特定される怖さしかない,"😱,🔍,🚫"
スクショ拡散怖い,恐れ,0.9,スクショへの恐怖,スクショ拡散怖い、スクショ怖い、スクショされたら怖い、スクショ拡散怖くて気を遣う、スクショ怖い案件,"📸,😱,🚫"
取り返しがつかない,恐れ,0.9,取り返しのつかない恐れ,取り返しがつかない、取り返しがつかなくなった、取り返しがつかないレベル、取り返しがつかない状況、取り返しがつかないことをした,"😱,💀,😭"
追い詰められた,恐れ,0.9,追い詰められた恐れ,追い詰められた、追い詰められてる、追い詰められた感がある、追い詰められすぎ、完全に追い詰められた,"😱,🚫,💦"
逃げ場がない,恐れ,0.9,逃げ場のない恐れ,逃げ場がない、逃げ場がなくなった、逃げ場がない状況、逃げ場がない恐怖、逃げ場がないを感じる,"😱,🚫,😰"
生きた心地がしない,恐れ,0.9,極度の恐れ・緊張,生きた心地がしない、生きた心地がしなかった、生きた心地がしないレベル、生きた心地がしない状況、生きた心地がしない案件,"😱,💀,💦"
ゾッとした,恐れ,0.85,ぞっとする恐怖,ゾッとした、後から考えてゾッとした、ゾッとするような話、ゾッとするレベル、ゾッとしすぎて,"😨,🥶,👻"
肝が冷えた,恐れ,0.85,突然の恐怖,肝が冷えた、一瞬肝が冷えた、肝が冷えるような出来事、肝が冷えるを超えた、肝が冷えすぎた,"🥶,😨,💀"
背筋が凍る,恐れ,0.85,背筋が凍る恐怖,背筋が凍る話、背筋が凍った、背筋が凍るくらい怖い、背筋が凍るような展開、背筋が凍る思い,"🥶,😨,👻"
血の気が引く,恐れ,0.85,恐怖・ショック,血の気が引いた、一気に血の気が引いた、血の気が引くほど怖い、血の気が引く話、血の気が引いてる,"😱,🥶,😰"
悪夢,恐れ,0.85,悪夢のような体験,悪夢すぎる、悪夢を見てる気分、悪夢のような展開、悪夢にも程がある、悪夢じゃないの,"😱,👻,💀"
心臓止まるかと,恐れ,0.85,驚き・恐怖,心臓止まるかと思った、心臓止まるかと思うくらい怖い、心臓止まるかと思うサプライズ、心臓止まるかと,"💔,😱,⚡"
怖くて動けない,恐れ,0.85,恐怖で麻痺,怖くて動けない、怖くて動けなくなった、怖くて動けない状態、怖くて一歩も動けない、怖くて動けない案件,"😱,🥶,😰"
足がすくむ,恐れ,0.85,恐れで動けない足,足がすくんだ、足がすくむ思い、足がすくむような恐怖、足がすくんで前に進めない、足がすくむレベル,"😱,🥶,🫨"
頭が真っ白,恐れ,0.85,恐れで思考停止,頭が真っ白になった、頭が真っ白になるレベル、頭が真っ白になってしまった、頭が真っ白で動けない、頭が真っ白案件,"😶,💭,🌫️"
全身が固まる,恐れ,0.85,恐怖で全身麻痺,全身が固まった、全身が固まるレベル、全身が固まってしまった、全身が固まる恐怖、全身が固まる思い,"🥶,😱,🫨"
声が出ない,恐れ,0.85,恐怖で声が出ない,声が出ない、声が出なかった、怖くて声が出ない、声が出ないくらい怖い、声が出ない案件,"😶,😱,🤐"
鳥肌が止まらない,恐れ,0.85,持続する鳥肌,鳥肌が止まらない、鳥肌が止まらないレベル、鳥肌が止まらなくなった、鳥肌が止まらない案件、鳥肌が止まらないほど怖い,"😨,🫨,⚡"
炎上怖い,恐れ,0.85,SNS炎上への恐れ,炎上怖い、炎上が怖くて投稿できない、炎上怖くて震えてる、炎上怖いから鍵垢にした、炎上怖い案件,"🔥,😰,📱"
誤爆怖い,恐れ,0.85,SNS誤爆への恐れ,誤爆怖い、誤爆しそうで怖い、誤爆怖くて震えてる、誤爆怖い案件、誤爆怖くて確認しまくる,"😱,📱,💦"
垢バン怖い,恐れ,0.85,アカウント凍結への恐れ,垢バン怖い、垢バンされそうで怖い、垢バン怖くて慎重になる、垢バン怖い案件、垢バンされたら怖い,"🚫,😱,📱"
見捨てられる怖さ,恐れ,0.85,見捨てられ恐怖,見捨てられる怖さがある、見捨てられたら怖い、見捨てられる怖さしかない、見捨てられるのが怖い、見捨てられる怖さを感じる,"💔,😰,😭"
どうにもならない,恐れ,0.85,無力感の恐れ,どうにもならない、どうにもならない状況、どうにもならない恐怖、どうにもならなくなった、どうにもならないを感じる,"😱,💀,😭"
怖くて眠れない,恐れ,0.85,恐れによる不眠,怖くて眠れない、怖くて眠れなかった、怖くて眠れない夜、怖くて眠れないレベル、怖くて眠れない案件,"😱,🌙,💦"
怖い,恐れ,0.8,ニュース・不安,地震が怖かった、将来が怖くなる、怖い夢を見た、暗い道は怖い、一人でいるのが怖い,"😨,😱,👻"
縮み上がる,恐れ,0.8,萎縮する恐怖,縮み上がった、縮み上がりそう、縮み上がるレベルの威圧、縮み上がってしまった、思わず縮み上がる,"😱,😰,🫨"
身がすくむ,恐れ,0.8,恐れで固まる,身がすくんだ、身がすくむ思い、身がすくむような恐怖、身がすくんで動けなかった、身がすくむレベル,"😨,🥶,🫨"
寒気がする,恐れ,0.8,怖気・悪寒,寒気がする、ぞわっと寒気、寒気が走った、寒気がするくらい怖い、寒気がして鳥肌,"🥶,😨,🌡️"
ぞわっとした,恐れ,0.8,瞬間的な悪寒,ぞわっとした、ぞわっとしてる、ぞわっとするような話、ぞわっとするレベル、思わずぞわっとした,"🥶,😨,⚡"
冷や汗,恐れ,0.8,恐れの身体反応,冷や汗が出た、冷や汗をかいた、冷や汗が流れた、冷や汗もの、冷や汗が止まらない,"💦,😰,🥶"
手が震える,恐れ,0.8,震える手,手が震えてる、手が震えるくらい怖い、手が震えてきた、手が震えて止まらない、手が震えながらやった,"🫨,😰,💦"
震えが走る,恐れ,0.8,恐れで震え,震えが走った、震えが走るレベル、震えが走るような話、全身に震えが走った、背中に震えが走った,"🫨,🥶,⚡"
過去ログが怖い,恐れ,0.8,過去投稿への恐れ,過去ログが怖い、過去の発言が怖い、過去ログ掘られるの怖い、過去ログ怖い案件、過去のツイート怖い,"🔍,😱,📜"
サービス終了怖い,恐れ,0.8,SNS・ゲームサービス終了,サービス終了怖い、サービス終了が怖い、サービス終了したら怖い、サービス終了怖い案件、サービス終了怖くて課金した,"💀,😱,📱"
人が怖い,恐れ,0.8,対人恐怖,人が怖い、人が怖くなってきた、人が怖い時期、人が怖くて出られない、人が怖い案件,"😰,🧍,💔"
怒られるのが怖い,恐れ,0.8,叱責への恐れ,怒られるのが怖い、怒られたら怖い、怒られるのが怖くて言えない、怒られるのが怖すぎ、怒られるのが怖い案件,"😰,😡,🚫"
失敗が怖い,恐れ,0.8,失敗恐怖,失敗が怖い、失敗怖い、失敗するのが怖い、失敗が怖くて動けない、失敗が怖すぎて踏み出せない,"😰,💦,🚫"
嫌われるのが怖い,恐れ,0.8,嫌われ恐怖,嫌われるのが怖い、嫌われたら怖い、嫌われるのが怖くて本音が言えない、嫌われるのが怖すぎ、嫌われるのが怖い案件,"😰,💔,🚫"
批判されるのが怖い,恐れ,0.8,批判への恐れ,批判されるのが怖い、批判怖い、批判されたら怖い、批判されるのが怖くて何も言えない、批判されるのが怖すぎ,"😰,💢,🚫"
将来が怖い,恐れ,0.8,将来への不安と恐れ,将来が怖い、将来怖い、将来が怖くなってきた、将来が怖すぎる、将来が怖い案件,"😰,🔮,💔"
怖くて確認できない,恐れ,0.8,確認恐怖,怖くて確認できない、怖くて開けない、怖くて結果が見れない、怖くて確認できなくなってる、怖くて確認できない案件,"😰,📱,🙈"
逃げたい,恐れ,0.8,回避したい恐れ,逃げたい、逃げたすぎる、逃げたい気持ちしかない、逃げたい案件、逃げたいくらい怖い,"🏃,😰,🚪"
恐れをなす,恐れ,0.8,圧倒的な恐れ,恐れをなす、恐れをなすレベル、恐れをなす強さ、恐れをなす存在、恐れをなす実力,"😱,💀,👑"
ガクブル,恐れ,0.75,震える恐怖,ガクブルしてる、ガクブルが止まらない、ガクブルで手が震える、ガクブル案件、ガクブルしながら,"😰,🌀,💦"
ビビった,恐れ,0.75,突然の驚き・恐怖,ビビった、普通にビビった、ビビりすぎた、ビビって声出た、ビビりまくった,"😱,💦,😰"
鳥肌,恐れ,0.75,鳥肌の恐怖・感動,鳥肌が立った、鳥肌もの、鳥肌案件、鳥肌立ちまくり、鳥肌でやばい,"😨,⚡,🫨"
おびえる,恐れ,0.75,びくびくした恐れ,おびえてる、おびえながら見てた、おびえが止まらない、おびえる毎日、おびえる展開,"😨,🫨,💦"
萎縮する,恐れ,0.75,プレッシャーの恐れ,萎縮してる、萎縮しそう、萎縮するレベル、萎縮してしまった、萎縮するしかない,"😰,🫨,💦"
ぞわぞわ,恐れ,0.75,持続する悪寒,ぞわぞわする、ぞわぞわが止まらない、ぞわぞわしてる、ぞわぞわ案件、ぞわぞわを感じた,"🥶,😰,🌀"
ひやっとした,恐れ,0.75,ひやっとした恐れ,ひやっとした、思わずひやっとした、ひやっとするレベル、ひやっとしてしまった、ひやっとする展開,"💦,😰,❄️"
通知が怖い,恐れ,0.75,SNS通知への恐れ,通知が怖い、通知見るの怖い、通知が怖くて開けない、通知が怖すぎる、通知が怖くてミュートにした,"📳,😰,📱"
返信が来ない怖さ,恐れ,0.75,既読無視への恐れ,返信が来ない怖さ、返信来ない怖い、返信がないのが怖い、返信こないの怖い、返信来ない案件,"📱,😟,⏳"
電話が怖い,恐れ,0.75,電話恐怖症,電話が怖い、電話怖い、電話するの怖い、電話が怖くてかけられない、電話が怖すぎる,"📞,😰,🚫"
発表が怖い,恐れ,0.75,人前での発表恐怖,発表が怖い、発表怖い、発表するの怖い、発表が怖くて緊張してる、発表が怖くて震えてる,"🎤,😰,🫨"
取り残される怖さ,恐れ,0.75,取り残され恐怖,取り残される怖さ、取り残されそうで怖い、取り残されるのが怖い、取り残される怖さを感じる、取り残されたら怖い,"😰,🏃,💔"
怖すぎて笑う,恐れ,0.75,恐れが笑いに変わる,怖すぎて笑う、怖すぎて笑えてくる、怖すぎて逆に笑う、怖すぎて笑うしかない、怖すぎて笑うしかない案件,"😂,😱,💦"
怖くて言えない,恐れ,0.75,恐れで沈黙する,怖くて言えない、怖くて言えなかった、怖くて言えない案件、怖くて言えない状況、怖くて言えないでいる,"🤐,😰,🚫"
焦る,恐れ,0.7,時間・締切,締切間近で焦る、周りと比べて焦る、準備が間に合わなくて焦った、焦る気持ちを抑える、予想外の事態に焦る,"💦,🏃‍♂️,⏳"
不気味,恐れ,0.7,雰囲気,不気味な静けさ、不気味な笑い声、不気味な建物、妙に不気味、不気味な予感,"😨,🏚️,👻"
緊張,恐れ,0.7,本番,緊張で手が震える、極度の緊張、緊張をほぐす、緊張感のある現場、面接で緊張する,"💦,💓,😰"
動揺,恐れ,0.7,意外性,激しく動揺する、動揺を隠せない、突然のことに動揺、動揺が広がる、動揺してミスする,"😰,🌀,💦"
戦々恐々,恐れ,0.7,危機感,戦々恐々として過ごす、戦々恐々とした雰囲気、戦々恐々とする毎日、戦々恐々と見守る、戦々恐々たる思い,"😨,💦,⚠️"
ヒヤヒヤ,恐れ,0.7,ハラハラ感,ヒヤヒヤした、ヒヤヒヤしながら見てた、ヒヤヒヤドキドキ、ヒヤヒヤが止まらない、ヒヤヒヤ案件,"😰,💦,😟"
ビビる,恐れ,0.7,恐れ・躊躇,ビビってる、ビビりすぎてる、ビビる必要ない、ビビって踏み出せない、ビビりまくり,"😰,💦,🙈"
ひえ,恐れ,0.7,SNS恐れ表現,ひえ、ひえとなった、ひえを超えた、ひえとしか言えない、ひえってなった,"😰,🥶,💦"
既読が怖い,恐れ,0.7,既読への恐れ,既読が怖い、既読つけるの怖い、既読つけたら怖い、既読が怖くて開けない、既読が怖い案件,"📱,😰,👁️"
ハラハラ,恐れ,0.7,ハラハラする緊張感,ハラハラしてる、ハラハラが止まらない、ハラハラしながら見てた、ハラハラドキドキ、ハラハラ案件,"😰,💦,🌀"
腹を括れない,恐れ,0.7,覚悟できない恐れ,腹を括れない、腹を括れないでいる、腹を括れない状況、腹を括れないほど怖い、腹を括れないでいる件,"😰,💦,🚫"
不安,恐れ,0.6,将来・状況,将来が不安になる、初めてで不安、何となく不安な気持ち、不安で眠れない、先が見えなくて不安,"😰,🌀,🌙"
心配,恐れ,0.6,一般,将来が心配、親を心配させる、心配で仕方ない、心配ご無用、心配なニュース,"😟,💦,🏠"
危惧,恐れ,0.6,将来,将来を危惧する、事態を危惧、危惧が現実になる、危惧の念を抱く、周囲が危惧,"😟,⚠️,🌊"
臆病,恐れ,0.6,性格,臆病な性格、臆病風に吹かれる、臆病になる自分、臆病な振る舞い、臆病な心を克服,"😨,💦,🐢"
不安感,恐れ,0.6,心理状態,絶え間ない不安感、不安感に襲われる、漠然とした不安感、不安感を拭い去る、不安感が募る,"😰,🌀,🌙"
鍵垢,恐れ,0.6,プライバシー,鍵垢で見守る、突然の鍵垢化に困惑、鍵垢での愚痴が漏れる恐怖、鍵垢にするか迷う、鍵垢のフォロワー整理,"🔒,🤫,👀"
躊躇,恐れ,0.5,迷い,躊躇してしまう、一瞬の躊躇、躊躇なく進む、躊躇いを感じる、躊躇せず決断,"🤔,❓,💦"
絶望,悲しみ,1.0,大きな失敗,目の前が真っ暗で絶望、人生に絶望した、絶望的な状況、絶望しかない、絶望して立ち直れない,"🖤,🌑,🥀"
